ASURITE,Cohort,Status,Activities Count,NGSC Activities,civ mil count,service count,culture count
hhoogstr,6,Active,4,"Service - Grading Essays for an Academic Decathlon Competition ,Service - Making Valentine's Cards for a Senior Living Facility ,Civ-Mil  - Section 7 Event - Rates of Homelessness for Female Veterans TED Talk,NGSC Culture - NGSC Ambassador Committee Essay Grading ",1,2,1
arwendel,6,Active,4,"NGSC Culture - Spring Kick off 2021,Service - Community outreach ,Civ-Mil  - Civil Mill PTSD discussion,Service - St mary's Food bank",1,2,1
zpezzell,6,Active,4,"NGSC Culture - Spring Semester Kickoff,Civ-Mil  - Q&A With U.S. Army War College Panelists,Service - Zooniverse,Service - Letters to Strangers",1,2,1
ajohn194,6,Active,4,"NGSC Culture - Spring Semester Kickoff,Service - Virtual E-Card Making for World Pediatric Project,Service - The Positivitea Project by The NGSC Service Committee,Civ-Mil  - Global Health: Preventing Pandemic",1,2,1
tggood,6,Active,4,"NGSC Culture - Spring Kickoff,Civ-Mil  - Annual section 7 event ,Service - Section 7 Annual Meeting ,Service - Litterati ",1,2,1
mmgarza2,6,Active,4,"Service - Covid Vaccination Site ,Service - Girl Scouts Event ,NGSC Culture - NGSC Beliefs Statement Student Survey ,Civ-Mil  - U.S. Air Force National Museum Virtual Tour",1,2,1
gaherre2,6,Active,4,"NGSC Culture - watch party with Laney ,Civ-Mil  - Virtual civil engagement ,Service - SPARKS panel,Service - AWC student speaker ",1,2,1
csheerin,6,Active,5,"NGSC Culture - Spring Semester Kickoff,Civ-Mil  - Section 7 Event: Women Veterans and Homelessness,Service - Best Buddies Annual Friendship Walk,NGSC Culture - NGSC Belief Statement Survey,Service - Yard Work",1,2,2
sdeorio,6,Active,4,"NGSC Culture - NGSC Spring Semester Kick Off,Service - World Pediatric Project,""Civ-Mil  - Civil-Mil Commitee's viewing of """"Medal of Honor"""""",Service - Vocal ID- custom voices service ",1,2,1
mjsanc14,6,Active,0,,0,0,0
Kwetnigh,6,Active,4,"Civ-Mil  - The Future of the JRPOA and the Iranian Nuclear Program with Joe Brazda,Service - Devils in Disguise Tempe - Day of Service (Amanda Hope Rainbow Angel- On Campus),Service - Fireside Community Park Clean Up,NGSC Culture - Coffee/Tea Talk",1,2,1
mdnguy11,6,Active,4,"Civ-Mil  - Robert E. Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause,Service - Section 7 Extravaganza - Service ,NGSC Culture - Section 7 Extravaganza - Culture,Service - Flyer Making ",1,2,1
tdalvi,6,Active,4,"NGSC Culture - Movie Kahoot,Civ-Mil  - From Shock To Awe Movie Screening,Service - Bike-A-thon,Service - Litterati",1,2,1
clulrich,6,Active,4,"NGSC Culture - Spring Welcome,Civ-Mil  - Medal of Honor Discussion ,Service - Literati Trash Challenge,Service - LDS Furniture Drive",1,2,1
ttorbens,6,Active,2,"""Civ-Mil  - We, The Marines viewing party"",NGSC Culture - MT Summit",1,0,1
hswatton,6,Active,3,"Service - Medallion Ceremony,Service - Tutoring,Civ-Mil  - Virtual workout with an active duty stationed in Korea",1,2,0
msmiramo,6,Active,4,"""Civ-Mil  - We, The Marines Viewing Party"",NGSC Culture - Spring Semester Kickoff,Service - St. Mary's Food Bank,Service - St. Mary's Food Bank",1,2,1
hlmason2,6,Active,4,"NGSC Culture - Plant-Based Service,Service - Freerice Activity,Civ-Mil  - U.S. Army Airborne And Special Operations Museum: Exhibit Virtual Tour,Service - Special Abilities Programming",1,2,1
zkhender,6,Active,4,"NGSC Culture - Spring Semester Kickoff ,""Civ-Mil  - Screening and Discussion of """"Street Vets"""" Documentary"",Service - Litterati,Service - Arizona Charter Academy Art Aide",1,2,1
acolem20,6,Active,2,"Service - Tempe beach park cleanup,Civ-Mil  - civil citizens forum ",1,1,0
rmcorey,6,Active,4,"Civ-Mil  - Profiles in Service- It takes a nation,NGSC Culture - NGSC Spring Kickoff,Service - Vets Documentary ,Service - Cooking ",1,2,1
mliu168,6,Active,4,"Service - MSP Clothing Drive,Service - Positivitea,Civ-Mil  - Profiles in Service - It Takes A Nation,NGSC Culture - NGSC Service Committee Meeting ",1,2,1
sayohann,6,Active,4,"Service - every drop counts ,Service - Nutrition project ,Civ-Mil  - video watch Q/A,NGSC Culture - paper airplane competition",1,2,1
knlaird,6,Active,0,,0,0,0
hmeastwo,6,Active,4,"Service - The Positivitea Project,NGSC Culture - Coffee/Tea Talk,Service - World Pediatric Project Message,""Civ-Mil  - We, The Marines Viewing Party""",1,2,1
ewofford,6,Active,4,"Civ-Mil  - he Future of the JCPOA and the Iranian Nuclear Program with Joe Brazda,Service - Refugee Advocacy Event,Service - Open Street Mapping,NGSC Culture - NGSC Beliefs Statement Survey",1,2,1
bcreek,6,Active,4,"NGSC Culture - Spring Semester Kickoff,Service - Society of Women Engineers (SWE) GEAR Day Kit Distribution,Civ-Mil  - Renewal and Remaking of Democracy,Service - SWE GEAR Day Townhall",1,2,1
bamen,6,Active,5,"NGSC Culture - West Campus community hang out,NGSC Culture - Campus Community Hangouts,Civ-Mil  - 1917 movie discussion,Service - Missing Maps,Service - Letters Against Isolation",1,2,2
csdunn1,6,Active,5,"Service - Non-Clinical Volunteer- COVID-19 Vaccination,Service - Rare Genetic Diseases Panel MT 12 Service addition ,NGSC Culture - Rare Genetic Diseases Panel,Service - COVID-19 Vaccine Volunteers,""Civ-Mil  - We, the Marines Viewing Party""",1,3,1
sliu295,6,Active,4,"NGSC Culture - 2021 Spring Semester Kickoff,Civ-Mil  - Preventing Atrocity Crimes in a Violent World ,Service - University of Arizona Vaccine Pod,Service - UA Vaccine Pod Runner/Floater ",1,2,1
sruiz40,6,Active,4,"Service - Plant-Based Service,Civ-Mil  - Section 7 Event,Service - Section 7 Event,NGSC Culture - Healthy Living Checklist",1,2,1
bmarti82,6,Active,4,"Service - Section 5 Event,NGSC Culture - Section 5 Event,Civ-Mil  - Kylie Cox,Service - The Litterati Event ",1,2,1
hkommine,6,Active,4,"NGSC Culture - FIRST NGSC CIVIL CITIZENS FORUM OF 2021 ,Service - Positivtea Project,Civ-Mil  - Annual Section 7 Event,Service - Annual Section 7 Event",1,2,1
rdeograt,6,Active,4,"Service - Burmese Community Event,NGSC Culture - Mission Team Summit,Service - Feed My Starving Children,Civ-Mil  - Profiles in Service - It Takes A Nation",1,2,1
dwkariuk,6,Active,4,"Service - Plant-Based Service,NGSC Culture - Documentary Watch Party,Service - Educational Equality: The Fight for all Immigrants,Civ-Mil  - Self-Guided Virtual Tour of U.S. Airborne and Special Operations Museum",1,2,1
crsavel,6,Active,4,"Service - Barret Service Saturday at Clark Park ,Service - Rare Disease Awareness Panel,NGSC Culture - Chill and Chat ,""Civ-Mil  - We, The Marines Viewing Party""",1,2,1
aoriver2,6,Active,5,"Civ-Mil  - Section 7 Event ,Service - section 7 event,NGSC Culture - Section 7 event ,NGSC Culture - Mission team summit ,Service - free arts affirmation cards",1,2,2
mymacias,6,Active,3,"Service - AB Soccer training photoshoots ,NGSC Culture - Educational Equality: The Fight For All Immigrants ,""Civ-Mil  - We, The Marines Discussion """,1,1,1
lgbautis,T3,Active,4,"Service - UK Tides Classification,NGSC Culture - Section 9 Event ,""Civ-Mil  - We, The Marines Viewing Party"",Service - Eco-Column Build with Tempe Prepatory Academy ",1,2,1
sayyad,T3,Active,0,,0,0,0
iherna31,T4,Active,2,"Service - VIRTUAL E-CARDS FOR WORLD PEDIATRIC PROJECT,NGSC Culture - Earth day challenge ",0,1,1
pddolena,T4,Active,4,"Civ-Mil  - Civil Mil documentary Watch Party,Service - Nutrition Project - Section 7 Event,NGSC Culture - 2nd Alumni Chit Chat,Service - Street Mapping - vulnerable populations ",1,2,1
nmquick,T4,Active,4,"NGSC Culture - Spring Kickoff,Service - Virtual E Card for World Pediatric Project ,Service - The Positivty Project ,Civ-Mil  - The Utility of Special Operations: Facing Challenges of Great Power Competition and Compound Security",1,2,1
veespino,T4,Active,4,"NGSC Culture - Spring semester kick off,Service - Feed My Starving Children,Civ-Mil  - The Marines Viewing Party,Service - Service with Sequoia Pathfinder Academy at Eastmark",1,2,1
dmcdon13,T4,Active,4,"NGSC Culture - Spring Kickoff,Service - LSpace Mentor,Civ-Mil  - Military Base Tour,Service - Career Villafe Mentoring",1,2,1
jmancil1,T4,Active,4,"NGSC Culture - St. Vincent De Paul,Service - St. Vincent De Paul,Service - St. Vincent De Paul,Civ-Mil  - Civil-Mil Discussion",1,2,1
bibarra3,T4,Active,5,"NGSC Culture - NGSC Spring Semester Kickoff ,Service - Positivitea Event Wall of Kindness ,Service - MT #22 Community Letter Writing Event ,Civ-Mil  - Annual Section 7 Event- Mission Team 19 Homelessness Civil-Mil Watch ,Service - Annual Section 7 Service Event- Hunger and Nutrition ",1,3,1
djerezca,T4,Active,4,"NGSC Culture - 2021 NGSC Spring Semester Kickoff,Civ-Mil  - Can Women’s Movements Save the World? at Zócalo Public Square (Name in the Pulse: Transnational Feminist Movements: Reflections on International Women's Day 2021),Service - Wildwatch Burrowing Owl,""Service - SMITHSONIAN DIGITAL VOLUNTEERS: TRANSCRIPTION CENTER - ELTON ROSS SILLIMAN PAPERS - CORRESPONDENCE, 1949""",1,2,1
sragan,T4,Active,11,"NGSC Culture - Spring 2021 Kickoff,NGSC Culture - Downtown Campus Game Night - Among Us,NGSC Culture - West Campus Community Hangout,NGSC Culture - Civil Citizens Forum,NGSC Culture - West Campus Hangout,Service - World Pediatric Project,NGSC Culture - West Campus Community Hangout,Service - Positivitea Project,Civ-Mil  - Street Vets - PBS Homeless Veterans Documentary,Service - Positivitea Project (Part 2),Civ-Mil  - Watch a Great Decisions episode of your choice from the Foreign Policy Association",2,3,6
kgpoulso,T4,Active,4,"NGSC Culture - Healthy Living Checklist ,Service - World Pediatric Project ,Service - Tempe's Homeless Friends Drive ,Civ-Mil  - Story of the Veteran: About Face-National Center for PTSD ",1,2,1
croger18,T4,Active,5,"NGSC Culture - 2021 NGSC Spring Semester Kickoff,NGSC Culture - Campus Community Hangouts,Service - Helping with a nonprofit company,Service - The World Pediatric Project,Civ-Mil  - Robert E. Lee and Me: A Southerner's Reckoning",1,2,2
iguadarr,T4,Active,0,,0,0,0
jbrimaco,T4,Active,4,"Service - Next Generation Service Corps Application Workshop (Transfer Committee),""Service - """"Body of water cleanup day"""""",Civ-Mil  - Street Vets - PBS Homeless Veteran Documentary Film,""NGSC Culture - CRIMINAL JUSTICE & SECURITY MT PRESENTS """"VOICES FOR JUSTICE""""""",1,2,1
rfairley,T4,Active,6,"NGSC Culture - Bachelor Watch Party/ Spring Semester Kick Off,Service - Scholarship Writing Workshop ,Service - Rare disease panel-- AARDA ,NGSC Culture - Rare Disease Panel,Service - Annual Section 7: Nutrition Project,Civ-Mil  - Section 7 Event",1,3,2
iclopez1,T4,Active,5,"""NGSC Culture - """"The Bachelor"""" Watch Party with Laney"",NGSC Culture - Spring Kick Off,""Civ-Mil  -  """"Robert E. Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause""""."",Service - Society of St. Vincent de Paul,Service - Hope Women's Center",1,2,2
mjchri13,T4,Active,4,"NGSC Culture - Spring Semester Kickoff ,Service - Blood Drive/Donating Blood,Service - Plasma Donation,Civ-Mil  - U.S. Air Force National Museum Virtual Tour",1,2,1
tajohn27,T4,Active,4,"NGSC Culture - Q&A with Sarah Turney ,Civ-Mil  - Story of the Veteran: About Face -National Center for PTSD,Service - Hope for Hunger Food Bank-3rd Shift ,Service - Letters to Strangers",1,2,1
